year,authornum
1970,2772
1971,2840
1972,18909
1973,136063
1974,147942
1975,158565
1976,169441
1977,192664
1978,124549
1979,168766
1980,182266
1981,200836
1982,212633
1983,241909
1984,260316
1985,274267
1986,301347
1987,320069
1988,317038
1989,308999
1990,337480
1991,353012
1992,375152
1993,412408
1994,447294
1995,508847
1996,572356
1997,636830
1998,796247
1999,845336
2000,872099
2001,879400
2002,956313
2003,1006172
2004,1103607
2005,1165031
2006,1248730
2007,1521750
2008,2350520
2009,2456081
2010,2597560
2011,2762823
2012,2927659
2013,3174176
2014,3393882
2015,3572209
2016,3724361
2017,3875034
2018,4284248
2019,4576895
2020,4770028
2021,5060827
2022,5258689
