year,flown
1970,17
1971,13
1972,3
1973,43
1974,158
1975,217
1976,265
1977,281
1978,352
1979,668
1980,1001
1981,1303
1982,1653
1983,2024
1984,2234
1985,2432
1986,2759
1987,2980
1988,3298
1989,3472
1990,3812
1991,4392
1992,4500
1993,4930
1994,5646
1995,5733
1996,8046
1997,8853
1998,14311
1999,16100
2000,18402
2001,20177
2002,22359
2003,23474
2004,25537
2005,27404
2006,31836
2007,40326
2008,67206
2009,85163
2010,99051
2011,111872
2012,123738
2013,136027
2014,149906
2015,161160
2016,172623
2017,182797
2018,205804
2019,229408
2020,260117
2021,288885
2022,324898
