PY,cnt
1900,13298
1901,14135
1902,14551
1903,12927
1904,15288
1905,14677
1906,13907
1907,15162
1908,16011
1909,16156
1910,14968
1911,14777
1912,16665
1913,16636
1914,15102
1915,13392
1916,14085
1917,12955
1918,11970
1919,13853
1920,17421
1921,19463
1922,19399
1923,22642
1924,23433
1925,23278
1926,23371
1927,25852
1928,29348
1929,29037
1930,31722
1931,29925
1932,30746
1933,32035
1934,32082
1935,31697
1936,31837
1937,31267
1938,32915
1939,31738
1940,28074
1941,29111
1942,26308
1943,24840
1944,22239
1945,40972
1946,50766
1947,61071
1948,67548
1949,75386
1950,81486
1951,86301
1952,90380
1953,92534
1954,97244
1955,83726
1956,80755
1957,86614
1958,95818
1959,98289
1960,109763
1961,138054
1962,146647
1963,154327
1964,177922
1965,243972
1966,283412
1967,300567
1968,314705
1969,346023
1970,342776
1971,371234
1972,400767
1973,406646
1974,429796
1975,432123
1976,447879
1977,526482
1978,540755
1979,558152
1980,568506
1981,592618
1982,622284
1983,680219
1984,694858
1985,697597
1986,709150
1987,720157
1988,703002
1989,662290
1990,690904
1991,858116
1992,866351
1993,909302
1994,956393
1995,1001779
1996,1165853
1997,1199725
1998,1210622
1999,1201126
2000,1243825
2001,1227719
2002,1273577
2003,1339650
2004,1441248
2005,1528393
2006,1606074
2007,1740645
2008,1833880
2009,1933008
2010,1961041
2011,2041885
2012,2167327
2013,2262444
2014,2356742
2015,2436816
2016,2558559
2017,2626656
2018,2703189
2019,2910311
2020,3028828
2021,3274675
2022,3356767
2023,3196360
