year,countrynum,countrynum_out,countrynum_in
1975,44,34,41
1976,52,42,43
1977,58,43,52
1978,59,46,50
1979,71,59,58
1980,67,59,54
1981,74,62,62
1982,84,68,67
1983,84,67,73
1984,95,81,76
1985,86,70,76
1986,87,74,72
1987,93,81,76
1988,88,75,76
1989,92,82,74
1990,98,78,86
1991,106,90,88
1992,108,91,93
1993,119,96,107
1994,118,105,98
1995,125,105,110
1996,109,99,92
1997,116,102,98
1998,131,118,112
1999,134,120,116
2000,134,124,123
2001,139,129,126
2002,144,127,128
2003,145,132,127
2004,153,139,134
2005,150,131,140
2006,146,127,139
2007,153,138,144
2008,172,153,160
2009,169,155,166
2010,170,154,162
2011,183,170,170
2012,183,172,170
2013,186,169,178
2014,193,179,182
2015,194,182,184
2016,195,183,188
2017,202,188,195
2018,206,192,193
2019,206,196,195
2020,206,195,200
2021,204,197,195
2022,208,196,202
