year,gridnum,gridnum_out,gridnum_in
1975,379,263,299
1976,424,318,341
1977,483,355,402
1978,510,393,423
1979,582,450,492
1980,634,494,522
1981,658,509,551
1982,710,560,590
1983,751,589,624
1984,758,592,639
1985,785,623,662
1986,833,654,699
1987,858,674,720
1988,859,691,729
1989,888,697,757
1990,928,734,793
1991,962,777,799
1992,987,799,839
1993,1059,828,898
1994,1090,905,899
1995,1103,890,932
1996,1169,920,1003
1997,1298,996,1127
1998,1418,1072,1241
1999,1471,1151,1245
2000,1564,1230,1325
2001,1618,1279,1378
2002,1690,1371,1437
2003,1738,1377,1485
2004,1830,1475,1580
2005,1903,1488,1662
2006,2011,1585,1760
2007,2154,1693,1901
2008,2308,1809,2052
2009,2439,1968,2162
2010,2548,2058,2253
2011,2684,2201,2352
2012,2754,2282,2404
2013,2866,2387,2505
2014,2981,2464,2630
2015,3066,2554,2695
2016,3188,2647,2797
2017,3294,2708,2944
2018,3403,2818,3001
2019,3469,2941,3075
2020,3558,3061,3156
2021,3681,3182,3285
2022,3809,3258,3392
