cent,flown_trans,flown_total,trans_ratio
1e-05,570,4250,0.13411764705882354
1.2589254117941661e-05,635,4666,0.13609087012430346
1.584893192461114e-05,785,5481,0.1432220397737639
1.9952623149688786e-05,931,6507,0.14307668664515139
2.5118864315095822e-05,1089,7681,0.1417784142689754
3.1622776601683795e-05,1256,9097,0.13806749477849842
3.9810717055349695e-05,1417,10656,0.13297672672672672
5.011872336272725e-05,1637,12352,0.1325291450777202
6.309573444801929e-05,1902,13860,0.13722943722943723
7.943282347242822e-05,2411,16232,0.1485337604731395
0.0001,2883,18936,0.15224968314321927
0.00012589254117941674,3411,22700,0.15026431718061675
0.00015848931924611142,4080,26845,0.15198360961072827
0.00019952623149688788,4730,32019,0.1477247884068834
0.0002511886431509582,5824,38068,0.15298938741199958
0.00031622776601683794,7258,46007,0.15775860195187688
0.00039810717055349735,8770,52707,0.16639156089323998
0.0005011872336272725,10445,60331,0.17312824252871659
0.000630957344480193,14052,76449,0.1838088137189499
0.0007943282347242822,17233,90870,0.18964454715527676
0.001,21203,109664,0.1933451269331777
0.0012589254117941675,23814,121723,0.19564092242222095
0.001584893192461114,29263,141060,0.20745073018573656
0.0019952623149688807,34109,156485,0.21796977346071508
0.002511886431509582,42908,187830,0.22844061119097056
0.0031622776601683794,49279,212552,0.23184444277165117
0.003981071705534973,61696,254430,0.24248712809024092
0.005011872336272725,69625,274264,0.2538612431817519
0.006309573444801936,82591,310882,0.2656667159887031
0.00794328234724282,88496,326555,0.27099875978012894
0.01,110147,395245,0.27868031221141315
0.012589254117941675,127481,443304,0.2875701550177756
0.01584893192461114,145937,479483,0.30436324124108677
0.01995262314968881,169605,524926,0.32310268494987865
0.025118864315095822,204917,608841,0.3365689892763464
0.03162277660168379,243193,697369,0.3487292953945472
0.039810717055349734,280102,794618,0.3524989365959493
0.05011872336272725,307122,833184,0.3686124553519991
0.06309573444801936,351619,966811,0.36368949050021154
0.07943282347242822,397365,1125608,0.3530225442605241
0.1,474320,1304274,0.3636659168242256
0.12589254117941687,508129,1286582,0.3949449005193606
0.15848931924611143,503013,1218500,0.41281329503487896
0.1995262314968879,453223,1125158,0.40280831669863254
0.25118864315095824,437067,1156554,0.37790453364045257
0.31622776601683794,420538,1061087,0.3963275395891195
0.39810717055349776,324905,858601,0.37841209129735465
0.5011872336272722,199093,517648,0.38461077798040366
