cent,distance_out,distance_in,ratio_mean,ratio_upper,ratio_lower
1e-05,1182.1832236935597,1124.289786859233,0.9510283721896787,0.8886756885256006,1.0133810558537568
1.2589254117941661e-05,1179.015516428433,1148.3514142785145,0.973991773880289,0.9082447019510779,1.0397388458095
1.584893192461114e-05,1172.7737904728092,1158.7244253763643,0.9880203964220748,0.9292839308093273,1.0467568620348224
1.9952623149688786e-05,1206.2329661033248,1170.6833840458569,0.9705284277113492,0.9179019531788678,1.0231549022438307
2.5118864315095822e-05,1209.804081661848,1188.8194305619822,0.9826545046276913,0.9314363428827321,1.0338726663726505
3.1622776601683795e-05,1238.8728853985947,1197.2770277730333,0.9664244345680563,0.9220590365224374,1.010789832613675
3.9810717055349695e-05,1284.7296793815078,1262.690874853025,0.9828455706424617,0.941173691568332,1.0245174497165914
5.011872336272725e-05,1289.799568664117,1293.906275420652,0.983183988315943,0.9429513529738216,1.0234166236580644
6.309573444801929e-05,1348.348636887732,1334.4985160553374,0.9897280863023946,0.9535224217902232,1.025933750814566
7.943282347242822e-05,1374.6552979912585,1360.6995918033952,0.9898478504333004,0.9571202082379574,1.0225754926286434
0.0001,1433.9525079317928,1389.964197267454,0.9693237325357562,0.939907713343886,0.9987397517276264
0.00012589254117941674,1495.397498202974,1462.8039049554488,0.9782040606014836,0.9515693086219824,1.0048388125809846
0.00015848931924611142,1551.5424292811076,1513.8182962484625,0.9756860448540075,0.9512364193632448,1.0001356703447701
0.00019952623149688788,1636.6919956805855,1575.4662163052576,0.9625917524269015,0.9408650657143317,0.9843184391394714
0.0002511886431509582,1678.912430288058,1613.6863486109985,0.9611498012044212,0.9413241478644019,0.9809754545444405
0.00031622776601683794,1741.7126213481622,1670.8872288402492,0.9593357758106552,0.9413060243838159,0.9773655272374945
0.00039810717055349735,1790.0225040613066,1736.3311480950367,0.9700052061667092,0.9533745252535482,0.9866358870798702
0.0005011872336272725,1804.154703255676,1750.922228774084,0.9704945067152326,0.95478166948441,0.9862073439460552
0.000630957344480193,1862.2524029406422,1798.3021518602634,0.9656597295944436,0.9514313990155117,0.9798880601733755
0.0007943282347242822,1925.4781573385173,1878.509468729076,0.9756067403670974,0.9623812810528933,0.9888321996813014
0.001,1965.9275467603009,1916.5545195233208,0.9748856323223392,0.9625965802489882,0.9871746843956901
0.0012589254117941675,2062.1937527843265,1996.021182569883,0.967911564989905,0.9567665645601069,0.9790565654197032
0.001584893192461114,2120.2135644582295,2048.632390991306,0.9662386965790333,0.9558245665481832,0.9766528266098834
0.0019952623149688807,2184.068908216438,2108.6964926041533,0.9654899095313638,0.9557856440497102,0.9751941750130174
0.002511886431509582,2277.0229011291317,2231.7777451060247,0.9801296877599822,0.9710214514252664,0.989237924094698
0.0031622776601683794,2283.6136910731957,2234.7064486819727,0.9785833993803748,0.9699054931434911,0.9872613056172584
0.003981071705534973,2389.2070807593445,2344.2921170902064,0.9812008912785981,0.973123902139986,0.9892778804172102
0.005011872336272725,2448.5938762602323,2415.763112749797,0.9865919931317569,0.9791013034846054,0.9940826827789084
0.006309573444801936,2494.7599547147834,2465.186748921818,0.988145871214152,0.9811248105734643,0.9951669318548396
0.00794328234724282,2517.9681976002507,2507.9438235299085,0.996018863907854,0.989334373438568,1.00270335437714
0.01,2594.4709699416344,2595.111522254131,1.0002468913007383,0.9939226606700934,1.006571121931383
0.012589254117941675,2710.2351859960245,2707.2305697600136,0.9988913817326497,0.9930386246525502,1.0047441388127492
0.01584893192461114,2781.86146076105,2752.6743695734294,0.9895080716278245,0.9840165207184737,0.9949996225371753
0.01995262314968881,2807.019218293096,2811.485782715106,1.0015912126261557,0.996270273793125,1.0069121514591863
0.025118864315095822,2868.540404378499,2907.530399361223,1.0135922767283356,1.0085109699268098,1.0186735835298615
0.03162277660168379,2930.1207973378782,2956.332381269651,1.0089455642769358,1.0041836004188487,1.013707528135023
0.039810717055349734,2980.9904336925456,2997.3145745734732,1.0054760795930187,1.000919804538051,1.0100323546479864
0.05011872336272725,2987.927257593568,3015.526179187829,1.009236811747716,1.004718384668367,1.013755238827065
0.06309573444801936,2991.746457813566,3025.562998187619,1.0113032774838704,1.0067915782214443,1.0158149767462965
0.07943282347242822,2953.148435652835,2983.966605039521,1.0104356994096957,1.005986002618526,1.0148853962008653
0.1,2973.515969617435,3016.995859293536,1.0146223831048382,1.0102269113754907,1.0190178548341857
0.12589254117941687,3073.077001301776,3169.304757098136,1.0313131612893518,1.0268140510141224,1.0358122715645812
0.15848931924611143,3022.1923499166646,3143.6151152080092,1.0401770473989496,1.035467970303267,1.0448861244946321
0.1995262314968879,3114.3260365941646,3298.2082580826714,1.0590439855454572,1.0541445761747388,1.0639433949161756
0.25118864315095824,3145.9500983806797,3355.2299193685244,1.0665235666311323,1.0615685540662014,1.0714785791960633
0.31622776601683794,3241.285540761779,3441.045762805011,1.0616299364962098,1.0565114525810677,1.066748420411352
0.39810717055349776,3179.888270048139,3369.5259276638203,1.0596365788703672,1.053737617636683,1.0655355401040514
0.5011872336272722,2851.7310697834864,2992.800961007406,1.049468160837,1.042510203537294,1.056426118136706
