cent,outflown,inflown,ratio
1e-05,3132,4040,1.289910600255428
1.2589254117941661e-05,5775,7469,1.2933333333333332
1.584893192461114e-05,8294,10724,1.2929828791897757
1.9952623149688786e-05,7644,9787,1.2803506017791733
2.5118864315095822e-05,9682,12335,1.2740136335467878
3.1622776601683795e-05,10834,13637,1.2587225401513753
3.9810717055349695e-05,12113,14987,1.237265747543961
5.011872336272725e-05,14933,18732,1.2544030000669657
6.309573444801929e-05,17365,22011,1.267549668874172
7.943282347242822e-05,19275,24541,1.2732036316472115
0.0001,22510,28575,1.2694358063083073
0.00012589254117941674,25480,32562,1.2779434850863423
0.00015848931924611142,31094,39652,1.2752299478999163
0.00019952623149688788,35329,45272,1.2814401766254353
0.0002511886431509582,41524,53006,1.276514786629419
0.00031622776601683794,47611,60542,1.2715968998760792
0.00039810717055349735,54361,68174,1.2540976067401262
0.0005011872336272725,63271,79877,1.2624583142355899
0.000630957344480193,69753,87304,1.2516164179318452
0.0007943282347242822,80883,100370,1.2409282543921467
0.001,93399,114614,1.2271437595691603
0.0012589254117941675,107094,127024,1.1860981941098474
0.001584893192461114,125458,148271,1.1818377464968355
0.0019952623149688807,142026,163924,1.154183036908735
0.002511886431509582,155152,177505,1.1440716200886871
0.0031622776601683794,175477,200558,1.1429304125326967
0.003981071705534973,186505,211415,1.1335621028926839
0.005011872336272725,206203,227879,1.1051197121283396
0.006309573444801936,250614,269468,1.0752312320939772
0.00794328234724282,280221,296596,1.0584360201412457
0.01,310814,321101,1.0330969647441879
0.012589254117941675,339471,352850,1.0394113193763237
0.01584893192461114,369087,379766,1.0289335576706846
0.01995262314968881,404959,407309,1.0058030566057305
0.025118864315095822,449714,445378,0.9903583166190068
0.03162277660168379,508131,492622,0.9694783431831555
0.039810717055349734,564749,536514,0.9500043382104262
0.05011872336272725,615175,586351,0.9531450400292599
0.06309573444801936,629374,593153,0.9424491637722563
0.07943282347242822,600878,555978,0.9252760127679829
0.1,599760,554114,0.9238928904895292
0.12589254117941687,607057,565601,0.9317098723843066
0.15848931924611143,595611,564889,0.9484193542429539
0.1995262314968879,566170,542158,0.9575887101047389
0.25118864315095824,471765,453659,0.9616207221815947
0.31622776601683794,394160,373141,0.9466739395169474
0.39810717055349776,334866,309287,0.9236142218081262
0.5011872336272725,263059,245731,0.9341288456201841
0.6309573444801942,263109,250284,0.9512559433542752
0.7943282347242822,164506,154624,0.9399292427023939
1.0,83179,80492,0.9676961733129756
